DT_GERACAO;HH_GERACAO;ANO_ELEICAO;SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;CD_MUN_SIT_BIOMETRIA;DS_MUN_SIT_BIOMETRIA;NR_ZONA;CD_GENERO;DS_GENERO;CD_ESTADO_CIVIL;DS_ESTADO_CIVIL;CD_FAIXA_ETARIA;DS_FAIXA_ETARIA;CD_GRAU_ESCOLARIDADE;DS_GRAU_ESCOLARIDADE;QT_ELEITORES_PERFIL;QT_ELEITORES_BIOMETRIA;QT_ELEITORES_DEFICIENCIA;QT_ELEITORES_INC_NM_SOCIAL
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;5559;55 a 59 anos                  ;3;ENSINO FUNDAMENTAL INCOMPLETO;236;194;5;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;5559;55 a 59 anos                  ;4;ENSINO FUNDAMENTAL COMPLETO;101;73;2;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;5559;55 a 59 anos                  ;5;ENSINO MÉDIO INCOMPLETO;51;30;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;5559;55 a 59 anos                  ;6;ENSINO MÉDIO COMPLETO;219;183;3;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;5559;55 a 59 anos                  ;7;SUPERIOR INCOMPLETO;55;35;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;5559;55 a 59 anos                  ;8;SUPERIOR COMPLETO;223;200;2;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;6064;60 a 64 anos                  ;1;ANALFABETO;35;18;2;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;6064;60 a 64 anos                  ;2;LÊ E ESCREVE;21;17;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;6064;60 a 64 anos                  ;3;ENSINO FUNDAMENTAL INCOMPLETO;165;133;4;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;6064;60 a 64 anos                  ;4;ENSINO FUNDAMENTAL COMPLETO;55;48;1;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;6064;60 a 64 anos                  ;5;ENSINO MÉDIO INCOMPLETO;12;8;0;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;6064;60 a 64 anos                  ;6;ENSINO MÉDIO COMPLETO;115;97;0;1
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;6064;60 a 64 anos                  ;7;SUPERIOR INCOMPLETO;25;22;1;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;6064;60 a 64 anos                  ;8;SUPERIOR COMPLETO;174;160;3;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;6569;65 a 69 anos                  ;1;ANALFABETO;20;11;1;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;6569;65 a 69 anos                  ;2;LÊ E ESCREVE;13;12;2;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;6569;65 a 69 anos                  ;3;ENSINO FUNDAMENTAL INCOMPLETO;102;85;3;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;6569;65 a 69 anos                  ;4;ENSINO FUNDAMENTAL COMPLETO;44;40;2;0
10/09/2020;23:04:11;2020;SP;70998;SÃO JOSÉ DOS CAMPOS;0;Sem biometria;127;2;MASCULINO;1;SOLTEIRO;6569;65 a 69 anos                  ;5;ENSINO MÉDIO INCOMPLETO;7;3;0;0
